id_venda;data_venda;loja;categoria;produto;quantidade;preco_unitario;valor_total;forma_pagamento;canal;tempo_preparo_min;avaliacao_cliente
100677;31/03/2025;Boa Viagem;Salgado;Pão de queijo;1;7,84;7,84;Débito;Delivery;9,4;4
100146;02/03/2025;Boa Viagem;Bebida quente;Café expresso;2;7,28;14,56;Crédito;Balcão;2,4;3
100609;22/03/2025;Espinheiro;Bebida quente;Chá artesanal;2;9,00;18,00;Pix;Balcão;10,5;4
100880;16/03/2025;Boa Viagem ;Salgado;Tapioca;3;15,68;47,04;Pix;App;7,1;5
100311;17/03/2025;Boa Viagem;Salgado;Pão de queijo;4;7,84;31,36;Débito;Balcão;11,5;5
101156;11/01/2025;Casa Forte;Bebida gelada;Cold brew;2;15,00;30,00;Pix;Balcão;6,4;5
100314;08/03/2025;Boa Viagem;Bebida gelada;Suco de caju;1;12,32;12,32;Pix;Balcão;2,9;4
100057;13/04/2025;Boa Viagem;Salgado;Tapioca;3;15,68;47,04;Pix;Balcão;6,4;4
100339;19/06/2025;Casa Forte;Bebida gelada;Suco de caju;3;11,00;33,00;Débito;Balcão;4,2;5
100904;23/06/2025;Boa Viagem;Doce;Cartola;1;19,04;19,04;Dinheiro;Delivery;8,9;4
100523;19/04/2025;Casa Forte;Salgado;Pão de queijo;3;7,00;21,00;;Balcão;9,4;2
100456;27/06/2025;Boa Viagem;Bebida quente;Latte;1;15,12;15,12;;Delivery;6,6;4
100727;12/01/2025;Casa Forte;Bebida gelada;Água de coco;1;8,00;8,00;Débito;Balcão;;3
100678;25/01/2025;Casa Forte;Doce;Bolo de rolo (fatia);4;16,00;64,00;Débito;Balcão;3,4;4
100411;28/04/2025;Boa Viagem;Bebida quente;Café expresso;1;7,28;7,28;Crédito;Balcão;9,6;4
100266;22/02/2025;Recife Antigo;Bebida quente;Café expresso;2;6,17;12,34;Pix;Balcão;8,1;5
100210;06/05/2025;Casa forte;Bebida gelada;Água de coco;3;8,00;24,00;Pix;Delivery;5,0;5
101106;21/01/2025;Espinheiro;Bebida quente;Chá artesanal;4;9,00;36,00;Pix;Balcão;6,4;
101161;29/04/2025;Boa Viagem;Salgado;Pão de queijo;4;7,84;31,36;Pix;Balcão;11,7;4
100119;24/04/2025;Recife Antigo;Bebida quente;Chá artesanal;2;8,55;17,10;Pix;Delivery;7,2;4
100151;12/06/2025;Casa Forte;Bebida quente;Cappuccino;2;12,00;24,00;Débito;Balcão;6,3;4
100667;30/06/2025;Espinheiro;Bebida quente;Café expresso;3;6,50;19,50;Pix;Balcão;10,7;4
101087;18/05/2025;Casa Forte;Bebida quente;Cappuccino;1;12,00;12,00;Crédito;Balcão;5,9;4
100842;05/04/2025;Boa Viagem;Bebida gelada;Água de coco;3;8,96;26,88;Crédito;Balcão;6,0;4
100648;03/05/2025;Espinheiro;Doce;Cartola;2;17,00;34,00;Pix;Balcão;2,1;5
